,entity_id,score,label_value,race,sex,age_cat
0,1,0.0,0,Hispanic,Male,Greater than 45
1,3,0.0,1,African-American,Male,25 - 45
2,4,0.0,1,Asian,Male,Less than 25
3,5,1.0,0,African-American,Male,Less than 25
4,6,0.0,0,African-American,Male,25 - 45
5,7,0.0,0,African-American,Female,25 - 45
6,8,1.0,1,Caucasian,Male,25 - 45
7,9,0.0,0,Caucasian,Male,25 - 45
8,10,0.0,0,Caucasian,Female,25 - 45
9,13,0.0,1,Asian,Male,Less than 25
10,14,0.0,0,Caucasian,Male,25 - 45
11,15,1.0,1,Hispanic,Female,Less than 25
12,16,0.0,0,African-American,Female,25 - 45
13,18,0.0,0,African-American,Male,25 - 45
14,19,0.0,1,Caucasian,Male,Greater than 45
15,20,0.0,1,African-American,Male,25 - 45
16,21,0.0,0,Hispanic,Male,25 - 45
17,22,1.0,0,African-American,Male,25 - 45
18,23,1.0,1,Caucasian,Male,25 - 45
19,24,0.0,1,Caucasian,Male,25 - 45
20,25,1.0,1,African-American,Male,Greater than 45
21,26,1.0,1,African-American,Female,Less than 25
22,27,0.0,1,Hispanic,Male,25 - 45
23,28,0.0,0,Caucasian,Female,Less than 25
24,30,0.0,1,Hispanic,Male,Less than 25
25,32,0.0,0,Caucasian,Male,25 - 45
26,33,0.0,0,African-American,Male,25 - 45
27,37,0.0,1,African-American,Male,25 - 45
28,38,0.0,0,Caucasian,Female,25 - 45
29,39,1.0,1,African-American,Male,25 - 45
30,40,1.0,1,Hispanic,Male,25 - 45
31,41,1.0,1,Caucasian,Male,25 - 45
32,42,1.0,1,African-American,Female,25 - 45
33,45,0.0,0,Caucasian,Male,Greater than 45
34,50,0.0,1,African-American,Male,Greater than 45
35,51,1.0,0,Caucasian,Male,25 - 45
36,52,1.0,1,Caucasian,Male,25 - 45
37,53,0.0,1,Hispanic,Male,Less than 25
38,54,1.0,1,Caucasian,Male,25 - 45
39,55,0.0,0,Hispanic,Female,25 - 45
40,56,1.0,0,African-American,Male,Less than 25
41,57,0.0,0,Hispanic,Male,Greater than 45
42,59,0.0,1,Hispanic,Male,25 - 45
43,61,0.0,0,African-American,Female,Greater than 45
44,64,1.0,1,African-American,Male,25 - 45
45,66,1.0,1,Caucasian,Male,25 - 45
46,67,1.0,1,African-American,Male,25 - 45
47,68,0.0,0,Caucasian,Male,Greater than 45
48,69,0.0,1,African-American,Male,25 - 45
49,70,0.0,0,African-American,Male,25 - 45
50,71,0.0,1,Caucasian,Male,25 - 45
51,72,0.0,0,African-American,Female,25 - 45
52,75,1.0,1,Caucasian,Male,Greater than 45
53,77,0.0,0,Hispanic,Female,Greater than 45
54,79,1.0,0,African-American,Male,25 - 45
55,80,0.0,1,African-American,Male,Less than 25
56,83,1.0,0,Hispanic,Male,25 - 45
57,84,0.0,0,African-American,Male,Greater than 45
58,85,1.0,0,Caucasian,Male,Greater than 45
59,87,0.0,0,African-American,Male,25 - 45
60,88,1.0,1,African-American,Male,Greater than 45
61,90,1.0,1,Caucasian,Male,25 - 45
62,91,0.0,1,Caucasian,Male,25 - 45
63,93,0.0,1,African-American,Male,Less than 25
64,95,1.0,1,African-American,Male,Less than 25
65,96,1.0,1,Caucasian,Male,25 - 45
